1777997768,177.3779296875
1777997768,188.0185546875
1777997769,199.474609375
1777997769,202.4443359375
1777997770,177.251953125
1777997771,177.859375
1777997771,178.6318359375
1777997772,175.41796875
1777997772,179.642578125
1777997773,182.4228515625
1777997773,179.37109375
1777997774,182.1044921875
1777997774,183.791015625
1777997775,181.9658203125
1777997776,182.177734375
1777997776,182.5205078125
1777997777,183.4267578125
1777997777,183.6259765625
1777997778,183.8681640625
1777997778,183.0244140625
1777997779,183.36328125
1777997779,186.0322265625
1777997780,184.5244140625
1777997781,185.3369140625
1777997781,185.3408203125
1777997782,185.158203125
1777997782,187.0048828125
1777997783,187.2236328125
1777997783,186.1845703125
1777997784,186.2626953125
1777997785,187.46484375
1777997785,187.9287109375
1777997786,197.61328125
1777997786,200.62890625
1777997787,189.8330078125
1777997787,193.09375
1777997788,197.060546875
1777997789,191.796875
1777997789,192.31640625
1777997790,192.9912109375
1777997790,202.4013671875
1777997791,195.484375
1777997791,195.845703125
1777997792,196.4013671875
1777997792,196.4990234375
1777997793,200.3671875
1777997794,205.2646484375
1777997794,197.54296875
1777997795,197.79296875
1777997795,197.26953125
1777997796,197.5810546875
1777997796,201.8359375
1777997797,199.90234375
1777997797,206.36328125
1777997798,211.5
1777997799,200.1787109375
1777997799,203.58203125
1777997800,205.87109375
1777997800,201.3125
1777997801,201.4609375
1777997801,202.97265625
1777997802,203.1083984375
1777997802,203.68359375
1777997803,204.0693359375
1777997804,206.2099609375
1777997804,203.6640625
1777997805,205.55078125
1777997805,207.8857421875
1777997806,204.1953125
1777997807,204.3310546875
1777997807,204.546875
1777997808,209.48046875
1777997808,216.2890625
1777997809,224.6240234375
1777997809,216.60546875
1777997810,219.677734375
1777997810,228.8818359375
1777997811,219.849609375
1777997812,221.7939453125
1777997812,208.30078125
1777997813,208.92578125
1777997813,208.9296875
1777997814,209.0498046875
1777997815,209.5810546875
1777997815,212.3828125
1777997816,212.814453125
1777997816,211.2421875
1777997817,211.6083984375
1777997817,214.5419921875
1777997818,212.9765625
1777997818,213.3359375
1777997819,213.68359375
1777997820,212.6982421875
1777997820,214.6015625
1777997821,222.2373046875
1777997821,223.2421875
1777997822,225.4375
1777997822,225.78515625
1777997823,214.44140625
1777997823,215.666015625
1777997824,217.30859375
1777997825,215.4912109375
1777997825,215.9111328125
1777997826,216.224609375
1777997826,216.7216796875
1777997827,218.0146484375
1777997827,218.8505859375
1777997828,216.6630859375
1777997829,217.544921875
1777997829,219.9130859375
1777997830,223.201171875
1777997830,223.201171875
1777997831,226.0087890625
1777997831,220.962890625
1777997832,222.759765625
1777997833,222.1572265625
1777997833,238.572265625
1777997834,240.2763671875
1777997834,223.166015625
1777997835,225.357421875
1777997835,226.916015625
1777997836,227.9150390625
1777997837,223.6943359375
1777997837,226.052734375
1777997838,226.8564453125
1777997838,224.767578125
1777997839,225.271484375
1777997839,235.0673828125
1777997840,227.658203125
1777997841,228.068359375
1777997841,228.7744140625
1777997842,226.8583984375
1777997842,227.927734375
1777997843,234.1220703125
1777997844,247.341796875
1777997844,252.408203125
1777997845,256.09765625
1777997845,230.7236328125
1777997846,231.2548828125
1777997846,232.0390625
1777997847,229.046875
1777997848,232.2646484375
1777997848,233.5146484375
1777997849,231.3662109375
1777997849,231.3701171875
1777997850,231.3779296875
1777997850,231.2451171875
1777997851,231.50390625
1777997852,233.9794921875
1777997852,232.7490234375
1777997853,232.5654296875
1777997853,232.568359375
1777997854,233.9794921875
1777997855,234.7255859375
1777997855,237.0703125
1777997856,239.2099609375
1777997856,242.896484375
1777997857,246.873046875
1777997857,236.6708984375
1777997858,237.9365234375
1777997859,238.615234375
1777997859,237.123046875
1777997860,239.0732421875
1777997860,240.177734375
1777997861,236.9873046875
1777997861,237.908203125
1777997862,240.728515625
1777997862,240.0146484375
1777997863,240.8037109375
1777997864,241.4404296875
1777997864,239.705078125
1777997865,240.7529296875
1777997865,253.6064453125
1777997866,245.3466796875
1777997866,255.33203125
1777997867,257.66015625
1777997868,243.8232421875
1777997868,244.6708984375
1777997869,244.8271484375
1777997869,241.666015625
1777997870,243.7841796875
1777997870,244.9169921875
1777997871,242.3974609375
1777997872,242.5458984375
1777997872,242.7646484375
1777997873,242.7763671875
