timestamp_s,frame_ms
1779637382,250.000
1779637382,83.333
1779637382,116.667
1779637382,100.000
1779637382,100.000
1779637382,66.667
1779637382,33.333
1779637382,16.667
1779637382,16.667
1779637382,50.000
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637382,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637383,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637384,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
1779637385,16.667
